date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
2012-11-09,2013,0,,ATL,MIA,1555.2542,1659.7239,0.49356793947087424,0.5064320605291257,1547.6481,1667.33,,,,,,,,,,,89,95,88,"",""
2012-11-09,2013,0,,OKC,DET,1653.8605,1402.0664,0.8834062626179129,0.11659373738208711,1655.8643,1400.0626,,,,,,,,,,,105,94,54,"",""
2012-11-09,2013,0,,PHO,CLE,1508.2866,1358.7621,0.8078932125563071,0.19210678744369292,1509.8342,1357.2145,,,,,,,,,,,107,105,17,"",""
2012-11-09,2013,0,,MEM,HOU,1603.3502,1498.4143,0.7648949144472956,0.23510508555270437,1607.0181,1494.7465,,,,,,,,,,,93,85,69,"",""
2012-11-09,2013,0,,NYK,DAL,1580.3411,1538.884,0.6930234601476049,0.30697653985239515,1586.0647,1533.1604,,,,,,,,,,,104,94,73,"",""
2012-11-09,2013,0,,BOS,PHI,1574.5995,1529.5587,0.697394645427317,0.302605354572683,1562.3982,1541.76,,,,,,,,,,,100,106,70,"",""
2012-11-09,2013,0,,NOP,CHO,1454.7487,1240.3191,0.8593621491462652,0.1406378508537348,1456.7892,1238.2786,,,,,,,,,,,107,99,1,"",""
2012-11-09,2013,0,,ORL,BRK,1487.2438,1361.5804,0.785670501573002,0.214329498426998,1436.3955,1412.4287,,,,,,,,,,,68,107,14,"",""
2012-11-09,2013,0,,SAC,SAS,1411.2153,1672.2556,0.2835291779177713,0.7164708220822287,1405.6838,1677.7871,,,,,,,,,,,86,97,60,"",""
2012-11-09,2013,0,,WAS,MIL,1432.6027,1504.6554,0.5401328764603323,0.45986712353966774,1421.1359,1516.1222,,,,,,,,,,,91,101,32,"",""
2012-11-10,2013,0,,TOR,PHI,1429.1904,1541.76,0.48191877943702705,0.518081220562973,1419.2877,1551.6627,,,,,,,,,,,83,93,39,"",""
2012-11-10,2013,0,,UTA,PHO,1526.5023,1509.8342,0.6618603418384071,0.33813965816159286,1534.0813,1502.2552,,,,,,,,,,,94,81,54,"",""
2012-11-10,2013,0,,CHI,MIN,1587.4724,1440.7579,0.8053702109712316,0.19462978902876837,1590.2074,1438.0229,,,,,,,,,,,87,80,51,"",""
2012-11-10,2013,0,,MIL,BOS,1516.1222,1562.3982,0.5767046750177887,0.42329532498221134,1508.5,1570.0204,,,,,,,,,,,92,96,64,"",""
